colour	x	y	fill
#F8766D	0.476316381136965	0.3246287471433	#F8766D
#00B0F6	0.508331679693395	0.325134341201271	#00B0F6
#00B0F6	0.591827963458494	0.369919456243856	#00B0F6
#A3A500	0.451634289821963	0.511362844874449	#A3A500
#F8766D	0.377150043308394	0.325703355202746	#F8766D
#F8766D	0.476255909892589	0.374564318461018	#F8766D
#00BF7D	0.513020102445512	0.534605406107184	#00BF7D
#00B0F6	0.452824110216969	0.314069828922118	#00B0F6
#A3A500	0.355108149099276	0.423707757300445	#A3A500
#00BF7D	0.503222851526449	0.599017199360247	#00BF7D
#E76BF3	0.464234666975799	0.710594206815302	#E76BF3
#A3A500	0.525872953355557	0.487425932943978	#A3A500
#00BF7D	0.568051761444032	0.646657258652041	#00BF7D
#A3A500	0.439911987683965	0.499342162597112	#A3A500
#00BF7D	0.572711182267468	0.560831451304369	#00BF7D
#00B0F6	0.628311572191092	0.336841521671828	#00B0F6
#F8766D	0.381015574716332	0.377770755797878	#F8766D
#A3A500	0.454107113764941	0.467130242732705	#A3A500
#F8766D	0.472451882459398	0.393089249027507	#F8766D
#A3A500	0.436749027656674	0.475121470528226	#A3A500
#A3A500	0.410282271836003	0.530882093105932	#A3A500
#00B0F6	0.498028332863207	0.418503316067825	#00B0F6
#00BF7D	0.535655972029123	0.526315836033922	#00BF7D
#00BF7D	0.60060478014089	0.544949172285943	#00BF7D
#A3A500	0.542403804463561	0.524905096534606	#A3A500
#A3A500	0.364453227024797	0.452538119087119	#A3A500
#00B0F6	0.532341628788316	0.451956071809676	#00B0F6
#F8766D	0.380424887139156	0.347438609747177	#F8766D
#00B0F6	0.613851612651278	0.427696436298827	#00B0F6
#00BF7D	0.585343322860576	0.534404020428935	#00BF7D
#00BF7D	0.520288262623336	0.513890024622363	#00BF7D
#F8766D	0.472835047670567	0.411736160618638	#F8766D
#F8766D	0.360998280611219	0.396332892963763	#F8766D
#00BF7D	0.49688514596859	0.594740219178319	#00BF7D
#A3A500	0.447748269894944	0.484829720862588	#A3A500
#F8766D	0.452262372516408	0.311670101029856	#F8766D
#00BF7D	0.60389327004036	0.53579704423605	#00BF7D
#A3A500	0.477824782349995	0.442393788531623	#A3A500
#00B0F6	0.536293623991936	0.385197499355519	#00B0F6
#00B0F6	0.532798911312571	0.389780029488765	#00B0F6
#A3A500	0.444300382391245	0.470364062272439	#A3A500
#A3A500	0.355275383052212	0.531612957814448	#A3A500
#A3A500	0.328684014008158	0.510891952845978	#A3A500
#F8766D	0.497024461119448	0.378077722459506	#F8766D
#00BF7D	0.501267781352101	0.53113818786336	#00BF7D
#00BF7D	0.614593033648914	0.504609836233427	#00BF7D
#00BF7D	0.582972291305417	0.553008987677866	#00BF7D
#A3A500	0.378117869917231	0.453470747790709	#A3A500
#F8766D	0.449179149916	0.393652680044923	#F8766D
#00BF7D	0.60467364103292	0.467781246956863	#00BF7D
#00BF7D	0.539756712441999	0.453871468032851	#00BF7D
#00BF7D	0.511678285392362	0.521187746961404	#00BF7D
#00BF7D	0.579656253976985	0.545955824777823	#00BF7D
#00B0F6	0.530072784122488	0.370511166298669	#00B0F6
#A3A500	0.41618933721397	0.532002532148661	#A3A500
#00B0F6	0.531152111597479	0.378823037154299	#00B0F6
#00B0F6	0.513357881277097	0.427013848958921	#00B0F6
#E76BF3	0.462674841639476	0.736771353708718	#E76BF3
#00B0F6	0.509294918918804	0.386403411272578	#00B0F6
#00BF7D	0.657555959058285	0.543803708818064	#00BF7D
#A3A500	0.450039424813251	0.512423776535414	#A3A500
#00BF7D	0.632769907033181	0.510498145817767	#00BF7D
#A3A500	0.371034016768338	0.458184339163235	#A3A500
#E76BF3	0.557368576032026	0.82235560251763	#E76BF3
#00BF7D	0.492694537881143	0.496245524110649	#00BF7D
#00BF7D	0.519256015615554	0.564510021181925	#00BF7D
#A3A500	0.332776867676093	0.503958898429516	#A3A500
#A3A500	0.430811421176009	0.517986705316841	#A3A500
#F8766D	0.564311643826701	0.330834687793834	#F8766D
#F8766D	0.412104534285175	0.355400516378515	#F8766D
#00B0F6	0.437143531404299	0.369615997906484	#00B0F6
#F8766D	0.299073651087367	0.391758213626607	#F8766D
#00BF7D	0.514353127669123	0.531996504427529	#00BF7D
#F8766D	0.400063603416528	0.376727883506817	#F8766D
#00B0F6	0.472038787106551	0.38039223492275	#00B0F6
#A3A500	0.434814828938723	0.498678266655947	#A3A500
#00B0F6	0.508465351602059	0.304230263636466	#00B0F6
#00BF7D	0.525090274830746	0.462176728604616	#00BF7D
#A3A500	0.437298266444637	0.442155652084729	#A3A500
#A3A500	0.439585611418344	0.445799231581652	#A3A500
#A3A500	0.36426211637753	0.504780397804792	#A3A500
#F8766D	0.493634700979444	0.377425275604381	#F8766D
#A3A500	0.413418856374673	0.507023102698511	#A3A500
#F8766D	0.402257425684672	0.457457868519821	#F8766D
#F8766D	0.465117236421888	0.351136214701175	#F8766D
#00BF7D	0.608541682799346	0.536683487184977	#00BF7D
#00B0F6	0.521222105418549	0.35428446030721	#00B0F6
#00BF7D	0.476514705607721	0.586101980719561	#00BF7D
#00B0F6	0.379647904321845	0.280841204377957	#00B0F6
#E76BF3	0.519951874675205	0.824601031054131	#E76BF3
#E76BF3	0.51853767322863	0.866293319112621	#E76BF3
#00BF7D	0.333394911006955	0.548488411311712	#00BF7D
#F8766D	0.490503492827227	0.31893811279421	#F8766D
#00B0F6	0.530007330993171	0.428370652966855	#00B0F6
#A3A500	0.441354552830364	0.557996606445743	#A3A500
#00B0F6	0.594777730609745	0.345227416315748	#00B0F6
#F8766D	0.381366210613599	0.388136291789539	#F8766D
#A3A500	0.357879929524685	0.455802823293517	#A3A500
#00BF7D	0.50288309604786	0.462949385002693	#00BF7D
#A3A500	0.521019006441768	0.527121304966295	#A3A500
#00B0F6	0.508201817729332	0.369988894941979	#00B0F6
#00B0F6	0.521484722642479	0.398380276666653	#00B0F6
#A3A500	0.538961459824122	0.508676907412589	#A3A500
#00BF7D	0.515694167283445	0.502866317232556	#00BF7D
#00B0F6	0.476386676941252	0.411247639130356	#00B0F6
#00B0F6	0.532948994939974	0.432803465101203	#00B0F6
#F8766D	0.494168994112586	0.368231203212286	#F8766D
#A3A500	0.557512451298475	0.439205511624039	#A3A500
#A3A500	0.520587027843728	0.475255532667744	#A3A500
#00B0F6	0.511034974483716	0.43368626402738	#00B0F6
#00BF7D	0.49580711807971	0.593543984865611	#00BF7D
#00B0F6	0.532613304697528	0.398666183058138	#00B0F6
#A3A500	0.44929249978339	0.478866501749113	#A3A500
#00B0F6	0.499375131801298	0.423997059863138	#00B0F6
#F8766D	0.377307580347191	0.336044120481267	#F8766D
#F8766D	0.501737932506237	0.395526916607371	#F8766D
#A3A500	0.327132814023569	0.472512037879106	#A3A500
#00B0F6	0.597723726648433	0.338178494828167	#00B0F6
#F8766D	0.490130024530198	0.397855636438561	#F8766D
#F8766D	0.391322986782663	0.386332313245812	#F8766D
#A3A500	0.312228962736666	0.516675556094106	#A3A500
#00B0F6	0.60583510021171	0.368748878385133	#00B0F6
#A3A500	0.428394736385523	0.523765469762795	#A3A500
#E76BF3	0.482996340967703	0.673200703390765	#E76BF3
#00BF7D	0.524795511230229	0.526769620853581	#00BF7D
#A3A500	0.348536406476818	0.51206815418835	#A3A500
#F8766D	0.362787938566027	0.327990130691735	#F8766D
#00B0F6	0.565351535507915	0.362494180989792	#00B0F6
#E76BF3	0.528335051793465	0.840871553928852	#E76BF3
#00BF7D	0.472853014266962	0.560759366477388	#00BF7D
#00B0F6	0.579846981686938	0.376743461852272	#00B0F6
#F8766D	0.479497969117906	0.310038141267394	#F8766D
#F8766D	0.403573911543771	0.35193142559363	#F8766D
#E76BF3	0.456983313018229	0.720814863610241	#E76BF3
#A3A500	0.409425284736068	0.471493682589177	#A3A500
#00B0F6	0.539408548071184	0.418747177057739	#00B0F6
#A3A500	0.423935484894636	0.459963293281812	#A3A500
#00BF7D	0.521787094567998	0.573080658844497	#00BF7D
#A3A500	0.372642133344247	0.50065826277507	#A3A500
#00B0F6	0.617536913830626	0.40630383724574	#00B0F6
#00B0F6	0.548429632443801	0.371879419392643	#00B0F6
#00B0F6	0.541565648143513	0.350275226087492	#00B0F6
#00B0F6	0.596313296314422	0.36222766444613	#00B0F6
#F8766D	0.390247991399556	0.366538708768254	#F8766D
#00BF7D	0.678448868216983	0.545818684224142	#00BF7D
#A3A500	0.442604285974035	0.503214013644817	#A3A500
#00B0F6	0.612436722579611	0.424237311469425	#00B0F6
#00BF7D	0.637427111621707	0.52741114959213	#00BF7D
#F8766D	0.467889016847297	0.383231280694248	#F8766D
#00BF7D	0.541218810626647	0.555252488346736	#00BF7D
#00BF7D	0.52572557134868	0.576199497053957	#00BF7D
#00BF7D	0.534853163138314	0.609192455081997	#00BF7D
#F8766D	0.349520106953471	0.314817030984952	#F8766D
#00B0F6	0.529324814798058	0.407818311108032	#00B0F6
#A3A500	0.507041111205137	0.477190572450751	#A3A500
#A3A500	0.434164842057511	0.486407300396593	#A3A500
#E76BF3	0.426576219851443	0.760179626616966	#E76BF3
#F8766D	0.382724833887003	0.391059226245439	#F8766D
#00BF7D	0.659095462353333	0.623744461193642	#00BF7D
#00BF7D	0.524982328617648	0.527602670374267	#00BF7D
#00B0F6	0.595371056191181	0.431384430068723	#00B0F6
#00BF7D	0.504963046301331	0.493897758109339	#00BF7D
#00B0F6	0.505094080205735	0.417168812842259	#00B0F6
#00B0F6	0.537212904069644	0.366333765299646	#00B0F6
#00BF7D	0.507018736923156	0.568023526239783	#00BF7D
#00B0F6	0.581859107662574	0.296314187988412	#00B0F6
#00BF7D	0.521824478121068	0.534448091024206	#00BF7D
#00BF7D	0.505230517764429	0.491079631049022	#00BF7D
#E76BF3	0.542241568099204	0.833454219436571	#E76BF3
#00BF7D	0.609215407164919	0.541209268218364	#00BF7D
#F8766D	0.375115351788737	0.382003422766202	#F8766D
#00BF7D	0.493875135596668	0.514361969871298	#00BF7D
#E76BF3	0.532934001372524	0.804981317898899	#E76BF3
#00BF7D	0.488326592860909	0.45809575323562	#00BF7D
#F8766D	0.459468073238652	0.28862324143194	#F8766D
#00BF7D	0.507988396829586	0.476082023497834	#00BF7D
#00BF7D	0.509415200050301	0.474366772440682	#00BF7D
#A3A500	0.419974697861476	0.510695304910533	#A3A500
#F8766D	0.403494557054202	0.362698238717555	#F8766D
#00B0F6	0.481378233354077	0.413588693788431	#00B0F6
#E76BF3	0.481592880729836	0.741593007089073	#E76BF3
#E76BF3	0.434188339953968	0.825060297798478	#E76BF3
#F8766D	0.36278611683263	0.356306703946645	#F8766D
#00BF7D	0.621220903859664	0.569187923724734	#00BF7D
#00B0F6	0.510430385546287	0.356261444432418	#00B0F6
#00B0F6	0.563455039664081	0.388416361484957	#00B0F6
#00B0F6	0.520082306699182	0.395908160769298	#00B0F6
#00BF7D	0.629429610073103	0.546622377941523	#00BF7D
#00BF7D	0.50182147987772	0.525680663867228	#00BF7D
#F8766D	0.49547775970455	0.40879969655643	#F8766D
#A3A500	0.373646794091031	0.392239380649141	#A3A500
#F8766D	0.483884797383332	0.387356670336217	#F8766D
#F8766D	0.479291618692239	0.266478515281453	#F8766D
#00BF7D	0.526602103051062	0.486922161960965	#00BF7D
#F8766D	0.378711984501692	0.390783285809436	#F8766D
#E76BF3	0.470509824264342	0.715143275431272	#E76BF3
#00B0F6	0.461019947800526	0.364939512073984	#00B0F6
#A3A500	0.517063723440832	0.534497191446716	#A3A500
#00BF7D	0.511213777480421	0.461040599063384	#00BF7D
#F8766D	0.477183332006781	0.36816932695912	#F8766D
#A3A500	0.468940007890302	0.52418233633419	#A3A500
#A3A500	0.438624615695682	0.514777267079744	#A3A500
#00BF7D	0.506626385380933	0.60777229169034	#00BF7D
#E76BF3	0.45983526420407	0.826284557436574	#E76BF3
#A3A500	0.426292220588031	0.468687890355745	#A3A500
#E76BF3	0.449224691209194	0.791867093545044	#E76BF3
#00B0F6	0.510844258337962	0.411506304877928	#00B0F6
#00BF7D	0.542942365659083	0.541211394471434	#00BF7D
#00B0F6	0.520296110536241	0.406785116421322	#00B0F6
#F8766D	0.501835265156399	0.342390987267194	#F8766D
#A3A500	0.468091162826851	0.47726266837141	#A3A500
#F8766D	0.479051822303873	0.324491961361	#F8766D
#F8766D	0.387139998584416	0.335738570529949	#F8766D
#00B0F6	0.526737991194635	0.363279273274125	#00B0F6
#00B0F6	0.498595155310251	0.4175906192752	#00B0F6
#E76BF3	0.433866295780231	0.760035633161089	#E76BF3
#F8766D	0.471690661567772	0.38686153856407	#F8766D
#00BF7D	0.614232039480253	0.584514368809825	#00BF7D
#00BF7D	0.604271453366589	0.562367871177648	#00BF7D
#00BF7D	0.568791205794664	0.479911287080824	#00BF7D
#00B0F6	0.510539670177534	0.339544733822119	#00B0F6
#A3A500	0.425976624363153	0.483438569596534	#A3A500
#00B0F6	0.404821389620495	0.358294049298307	#00B0F6
#A3A500	0.454689659305632	0.484993646229431	#A3A500
#00BF7D	0.512034425321854	0.488197157804766	#00BF7D
#00BF7D	0.580587486035776	0.563511309451828	#00BF7D
#F8766D	0.459039637729471	0.37412021124571	#F8766D
#A3A500	0.426666466323888	0.432318213052148	#A3A500
#00BF7D	0.487851332176061	0.562640911772784	#00BF7D
#E76BF3	0.448171089429767	0.828077086894261	#E76BF3
#F8766D	0.459108506301874	0.414633438620552	#F8766D
#00B0F6	0.505102094596448	0.390647527326942	#00B0F6
#F8766D	0.39396517209975	0.349869667043176	#F8766D
#00BF7D	0.622313355256081	0.582044621783872	#00BF7D
#00BF7D	0.47265480587778	0.529668483045422	#00BF7D
#00BF7D	0.531988254508855	0.579761556737881	#00BF7D
#00B0F6	0.618613603301358	0.358790840399096	#00B0F6
